,seed_term,cause_terms
0,대기오염,장비
1,대기오염,해사
2,대기오염,오토바이
3,대기오염,건축
4,대기오염,소득
5,대기오염,요청
6,대기오염,요인
7,대기오염,교통량
8,대기오염,운송
9,대기오염,추진
10,대기오염,시간
11,대기오염,위치
12,대기오염,기술
13,대기오염,지적
14,대기오염,폐기물
15,대기오염,당사국
16,대기오염,업체
17,대기오염,운행
18,대기오염,비산
19,대기오염,스모그
20,대기오염,농지
21,대기오염,완료
22,대기오염,성장
23,대기오염,관리
24,대기오염,화력
25,대기오염,발생
26,대기오염,화학
27,대기오염,저질
28,대기오염,법
29,대기오염,물질
30,대기오염,석유
31,대기오염,레미콘
32,대기오염,소각
33,대기오염,담배
34,대기오염,보건
35,대기오염,설계
36,대기오염,겨울철
37,대기오염,손길
38,대기오염,회담
39,대기오염,녹색
40,대기오염,파괴
41,대기오염,감사원
42,대기오염,아파트
43,대기오염,안개
44,대기오염,적극
45,대기오염,시장
46,대기오염,비판
47,대기오염,실시간
48,대기오염,오존
49,대기오염,이번
50,대기오염,도입
51,대기오염,유사
52,대기오염,규정
53,대기오염,곳
54,대기오염,아스
55,대기오염,사용
56,대기오염,개발
57,대기오염,전략
58,대기오염,소송
59,대기오염,차량
60,대기오염,투표
61,대기오염,자외선
62,대기오염,발전소
63,대기오염,사거리
64,대기오염,사회
65,대기오염,계획
66,대기오염,전력
67,대기오염,사막
68,대기오염,밀집
69,대기오염,교체
70,대기오염,확인
71,대기오염,관련
72,대기오염,대응
73,대기오염,순서
74,대기오염,중
75,대기오염,상황
76,대기오염,추정
77,대기오염,공장
78,대기오염,도로
79,대기오염,적치
80,대기오염,따라
81,대기오염,연소
82,대기오염,보전
83,대기오염,비용
84,대기오염,오존층
85,대기오염,영동
86,대기오염,흙먼지
87,대기오염,자율
88,대기오염,공급
89,대기오염,의결
90,대기오염,등급
91,대기오염,비료
92,대기오염,기준
93,대기오염,대두
94,대기오염,개인
95,대기오염,석탄
96,대기오염,공단
97,대기오염,합의
98,대기오염,발
99,대기오염,설치
100,대기오염,환경
101,대기오염,특성
102,대기오염,정책
103,대기오염,단축
104,대기오염,경제
105,대기오염,강화
106,대기오염,콘
107,대기오염,정상
108,대기오염,일수
109,대기오염,의료
110,대기오염,가스
111,대기오염,교통망
112,대기오염,량
113,대기오염,편입
114,대기오염,진행
115,대기오염,예천
116,대기오염,통과
117,대기오염,공업화
118,대기오염,적정
119,대기오염,지침
120,대기오염,예보
121,대기오염,추세
122,대기오염,단속
123,대기오염,경우
124,대기오염,공개
125,대기오염,겨울
126,대기오염,화물
127,대기오염,수준
128,대기오염,차
129,대기오염,디젤차
130,대기오염,정차
131,대기오염,국내
132,대기오염,발령
133,대기오염,산불
134,대기오염,조
135,대기오염,최악
136,대기오염,구조
137,대기오염,이용
138,대기오염,특별법
139,대기오염,예상
140,대기오염,향후
141,대기오염,수요
142,대기오염,농도
143,대기오염,기류
144,대기오염,수급
145,대기오염,매연
146,대기오염,난방
147,대기오염,할론
148,대기오염,자가용
149,대기오염,최근
150,대기오염,한편
151,대기오염,미
152,대기오염,건축물
153,대기오염,조성
154,대기오염,각서
155,대기오염,현장
156,대기오염,증가
157,대기오염,확대
158,대기오염,퇴치
159,대기오염,책정
160,대기오염,법률
161,대기오염,시
162,대기오염,오염
163,대기오염,방지
164,대기오염,급증
165,대기오염,구축
166,대기오염,당국
167,대기오염,발달
168,대기오염,교
169,대기오염,측정
170,대기오염,연기
171,대기오염,사태
172,대기오염,감기
173,대기오염,본보
174,대기오염,청
175,대기오염,털
176,대기오염,낭비
177,대기오염,원거리
178,대기오염,약화
179,대기오염,다량
180,대기오염,대책
181,대기오염,활동
182,대기오염,단순
183,대기오염,설명
184,대기오염,국가
185,대기오염,쓰레기
186,대기오염,그래픽
187,대기오염,부담
188,대기오염,예산
189,대기오염,감소
190,대기오염,고속로
191,대기오염,진동
192,대기오염,프레온
193,대기오염,해양
194,대기오염,필요
195,대기오염,세계
196,대기오염,노력
197,대기오염,개선
198,대기오염,부두
199,대기오염,양해
200,대기오염,정부
201,대기오염,황사
202,대기오염,대형
203,대기오염,산업
204,대기오염,지구
205,대기오염,분리수거
206,대기오염,관리법
207,대기오염,버스
208,대기오염,산
209,대기오염,때
210,대기오염,위원단
211,대기오염,지도
212,대기오염,기본
213,대기오염,공회전
214,대기오염,조사
215,대기오염,특별
216,대기오염,발표
217,대기오염,반응
218,대기오염,유해
219,대기오염,온난
220,대기오염,서곡
221,대기오염,먼지
222,대기오염,성상
223,대기오염,원칙
224,대기오염,보호
225,대기오염,수치
226,대기오염,누출
227,대기오염,이뤄지고
228,대기오염,처리
229,대기오염,공사
230,대기오염,폭죽
231,대기오염,폭죽놀이
232,대기오염,배기가스
233,대기오염,지원
234,대기오염,원인
235,대기오염,초미세
236,대기오염,위협
237,대기오염,자동차
238,대기오염,무단
239,대기오염,가동
240,대기오염,프로젝트
241,대기오염,산정
242,대기오염,기구
243,대기오염,과밀화
244,대기오염,유입
245,대기오염,일교차
246,대기오염,불법
247,대기오염,환경부
248,대기오염,황산화물
249,대기오염,심사
250,대기오염,운영
251,대기오염,교통
252,대기오염,높여
253,대기오염,트럭
254,대기오염,개정안
255,대기오염,우려
